"Titles","Year","Cited by","Link"
"The Law of Military Occupation from the 1907 Hague Peace Conference to the Outbreak of World War II: Was Further Codification Unnecessary or Impossible?","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062701054&doi=10.1093%2fejil%2fchy063&partnerID=40&md5=8e7226a47ddbc6f82bc7a4b19666e048"
"Avoiding “A Chain Reaction of Disaster”: A Reappraisal of the Eisenhower White House’s Handling of the 1954–1955 Quemoy Crisis","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056730828&doi=10.1111%2fpsq.12484&partnerID=40&md5=f31a26b47f35f8f37811f0ca6844dd94"
"The emergence of team resilience: A multilevel conceptual model of facilitating factors","2018","71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052391782&doi=10.1111%2fjoop.12237&partnerID=40&md5=de404691e58fe0bbbedb600d3bc2227d"
"Beyond the 2% fetishism: studying the practice of collective action in transatlantic affairs","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065039217&doi=10.1057%2fs41599-018-0204-7&partnerID=40&md5=1a5bc1fd0e4bce9a475c64ea55a080d1"
"Understanding Gender Differences in Resilience Among Veterans: Trauma History and Social Ecology","2018","30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056669283&doi=10.1002%2fjts.22341&partnerID=40&md5=8b14de764e08caff81edbfd2fed5e23b"
"Non-insulin determinant pathways maintain glucose homeostasis upon metabolic surgery","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053868019&doi=10.1038%2fs41421-018-0062-x&partnerID=40&md5=3515ee71c889842f7226669c4ecc3856"
"Developments in the Transition from Animal Use to Simulation-Based Biomedical Education","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053706167&doi=10.1097%2fSIH.0000000000000310&partnerID=40&md5=f71dcb9270b03669ce24b5fe15e51ef3"
"Seroprevalence of neutralizing antibodies to human adenovirus type 4 and 7 in healthy populations from southern China","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058164019&doi=10.3389%2ffmicb.2018.03040&partnerID=40&md5=d8368f21f5f78304b2cf0a854ed17082"
"Human spaceflight mishap investigations: Enabling a better model for future nasa and commercial investigations","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058633666&doi=10.1089%2fspace.2018.0004&partnerID=40&md5=b6aee15d6200c0d46ec8b5a73619afda"
"Mental Health-Related Outcomes of Robin Williams’ Death: The Role of Parasocial Relations and Media Exposure in Stigma, Help-Seeking, and Outreach","2018","35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031824653&doi=10.1080%2f10410236.2017.1384348&partnerID=40&md5=02db8e2a12feb8d821741f0165340afa"
"Selected bibliography for the study of belief in contemporary global capitalism","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097844091&doi=10.7771%2f1481-4374.3315&partnerID=40&md5=6e4b90d0fe4cd931ea86bc020a222880"
"Baicalein protects human vitiligo melanocytes from oxidative stress through activation of NF-E2-related factor2 (Nrf2) signaling pathway","2018","54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055273654&doi=10.1016%2fj.freeradbiomed.2018.10.421&partnerID=40&md5=f76991b6dac15344be9c3e657c0d5939"
"Reconciliation sentiment among former perpetrators of violence during the Colombian armed conflict","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062689875&doi=10.1002%2fcrq.21232&partnerID=40&md5=b86975cc6e2a80135c0cd9e2459fedb3"
"Testing methods of assessment for the chemical resistance of insulating materials against the effect of selected acids","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060645472&doi=10.37358%2fmp.18.4.5071&partnerID=40&md5=e205cc2372a245dc3533590255567a1f"
"Was something rotten in the state of Denmark? Three narratives of the active internationalism in Danish foreign policy","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055275959&doi=10.1177%2f0010836717738554&partnerID=40&md5=a9b823630dc353cad5dbc8c19a96aae5"
