"Titles","Year","Cited by","Link"
"Predicting Objective Function Change in Pose-Graph Optimization","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062963158&doi=10.1109%2fIROS.2018.8594248&partnerID=40&md5=84fc8c1f0f8937212d60d381989ba4e4"
"An Everyday Robotic System that Maintains Local Rules Using Semantic Map Based on Long-Term Episodic Memory","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062960960&doi=10.1109%2fIROS.2018.8594481&partnerID=40&md5=1ee4b7f8abd30e41d3cbdb86459f63d6"
"Stereo Visual Odometry and Semantics based Localization of Aerial Robots in Indoor Environments","2018","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062939564&doi=10.1109%2fIROS.2018.8593426&partnerID=40&md5=8ff501ea49ecf6097e116b5f4d977976"
"A hybrid 2D and 3D convolution neural network for stereo matching","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061045536&doi=10.1109%2fCSE.2018.00028&partnerID=40&md5=a9f24efb926e8b8464494ebdc64730e0"
"Incremental Object Database: Building 3D Models from Multiple Partial Observations","2018","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062993645&doi=10.1109%2fIROS.2018.8594391&partnerID=40&md5=3551068164375775bd52d88bfd2c0f24"
"HERO: Accelerating Autonomous Robotic Tasks with FPGA","2018","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062940717&doi=10.1109%2fIROS.2018.8593522&partnerID=40&md5=2911a30c36e701c3c787978e3434cb6f"
"Autonomous Mobile Robot Visual SLAM Based on Improved CNN Method","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060021070&doi=10.1088%2f1757-899X%2f466%2f1%2f012114&partnerID=40&md5=8b30a1719045d6ae7b13422c51674f03"
"Robust Continuous System Integration for Critical Deep-Sea Robot Operations Using Knowledge-Enabled Simulation in the Loop","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062526740&doi=10.1109%2fIROS.2018.8594392&partnerID=40&md5=833f8642788d23da43eef9bf605abbfa"
"Performance analysis of an indoor localization and mapping system using 2D laser range finder sensor","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061554838&doi=10.1109%2fIECON.2018.8591207&partnerID=40&md5=01144d9d143fcf7c158e3acd1cc66835"
"Robotic Subsurface Pipeline Mapping with a Ground-penetrating Radar and a Camera","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062996128&doi=10.1109%2fIROS.2018.8594006&partnerID=40&md5=7482d262d1f71e78dcbb30c8527bf56d"
"Information Sparsification in Visual-Inertial Odometry","2018","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062974178&doi=10.1109%2fIROS.2018.8594007&partnerID=40&md5=5c0f2c4ccf29102ec1174175b2e1469a"
"Stabilize an Unsupervised Feature Learning for LiDAR-based Place Recognition","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062952780&doi=10.1109%2fIROS.2018.8593562&partnerID=40&md5=1514be492fd378c184ff696d0250624f"
"Improving indoor robots localisation by fusing different sensors","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059656996&doi=10.1109%2fIROS.2018.8593667&partnerID=40&md5=86d9b6d69b9223149076934adf47df52"
"Laser Map Aided Visual Inertial Localization in Changing Environment","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062993375&doi=10.1109%2fIROS.2018.8593846&partnerID=40&md5=1ab4c8ba5987dee0eccd53d859ddcc44"
"Sliding mode SLAM for robust simultaneous localization and mapping","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061522690&doi=10.1109%2fIECON.2018.8591121&partnerID=40&md5=cc75eed3aa4a133d0469729962f55e10"
