"Titles","Year","Cited by","Link"
"Carnegie Airborne Observatory-2: Increasing science data dimensionality via high-fidelity multi-sensor fusion","2012","253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863214543&doi=10.1016%2fj.rse.2012.06.012&partnerID=40&md5=9830a5dfae522a8224b8457361c1d839"
"Intention-based EMG control for powered exoskeletons","2012","282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864242549&doi=10.1109%2fTBME.2012.2198821&partnerID=40&md5=f70d5724610c095480ec570ab21c8906"
"Driving style recognition using a smartphone as a sensor platform","2011","568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83755173341&doi=10.1109%2fITSC.2011.6083078&partnerID=40&md5=1bc4bf3a020840bcf27480d78a9e1705"
"Pixel-level image fusion with simultaneous orthogonal matching pursuit","2012","324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053987231&doi=10.1016%2fj.inffus.2010.04.001&partnerID=40&md5=68544e5651c860ccb89cdc97be6c0bb9"
"Person re-identification over camera networks using multi-task distance metric learning","2014","201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904277148&doi=10.1109%2fTIP.2014.2331755&partnerID=40&md5=80e8daec12722945b52c47568977f4cc"
"Real-time classification and sensor fusion with a spiking deep belief network","2013","298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888811418&doi=10.3389%2ffnins.2013.00178&partnerID=40&md5=40467ce55385e2a3e94df21a05c43f4c"
"Complexity in engineering design and manufacturing","2012","453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865685395&doi=10.1016%2fj.cirp.2012.05.001&partnerID=40&md5=22dafc2922317788a4fa39afc09d963e"
"Distributed tracking control of leader-follower multi-agent systems under noisy measurement","2010","430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955420953&doi=10.1016%2fj.automatica.2010.05.020&partnerID=40&md5=ef82d28da1098aefe22c736224f729b1"
"Model predictive quadrotor control: Attitude, altitude and position experimental studies","2012","290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878464431&doi=10.1049%2fiet-cta.2011.0348&partnerID=40&md5=8e8414bccb2c154c42aa8f86ec980ffd"
"Information fusion in navigation systems via factor graph based incremental smoothing","2013","189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878781878&doi=10.1016%2fj.robot.2013.05.001&partnerID=40&md5=88ed820843c0edae419fb74205b1b0f3"
"Millimeter-wave technology for automotive radar sensors in the 77 GHz frequency band","2012","900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858159451&doi=10.1109%2fTMTT.2011.2178427&partnerID=40&md5=85244fb0a162939a96a4fb770c3ac951"
"Thermal cameras and applications: A survey","2014","437","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894905163&doi=10.1007%2fs00138-013-0570-5&partnerID=40&md5=7b27dc695da686506a048a72317a5b89"
"Action2Activity: Recognizing complex activities from sensor data","2015","318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949742707&partnerID=40&md5=82a6753dec229a1a57acdc5ecb441d18"
"Multiparameter respiratory rate estimation from the photoplethysmogram","2013","282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879995211&doi=10.1109%2fTBME.2013.2246160&partnerID=40&md5=c4ba483130c58787998c0ee74fee051c"
"Color-guided depth recovery from RGB-D data using an adaptive autoregressive model","2014","248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904211099&doi=10.1109%2fTIP.2014.2329776&partnerID=40&md5=79e005a65b15f61ecadf57643f94d132"
"Opportunities and challenges with autonomous micro aerial vehicles","2012","297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866306358&doi=10.1177%2f0278364912455954&partnerID=40&md5=5a269d96171d9a3d638068c6e94cc3b4"
"WSN- and IOT-based smart homes and their extension to smart buildings","2015","256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929352848&doi=10.3390%2fs150510350&partnerID=40&md5=11fdb8353b5122787644130f7a89ca50"
"Elevated rates of gold mining in the Amazon revealed through high-resolution monitoring","2013","207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887481192&doi=10.1073%2fpnas.1318271110&partnerID=40&md5=dc441adecd0761634ed9931d117d6fa1"
"Smart devices are different: Assessing and mitigating mobile sensing heterogeneities for activity recognition","2015","357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962920836&doi=10.1145%2f2809695.2809718&partnerID=40&md5=89aecd3969db80de37c498d92e7121ab"
"From Wearable Sensors to Smart Implants-Toward Pervasive and Personalized Healthcare","2015","220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956602758&doi=10.1109%2fTBME.2015.2422751&partnerID=40&md5=33e5ba5ed14519bf7601c8d08b73b1ce"
"SpotFi: Decimeter Level Localization Using WiFi","2015","403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086599756&doi=10.1145%2f2785956.2787487&partnerID=40&md5=22d56a8d02d0c6f826dc92683748da4a"
"Plant disease severity estimated visually, by digital photography and image analysis, and by hyperspectral imaging","2010","526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950942373&doi=10.1080%2f07352681003617285&partnerID=40&md5=914db444bf8f43cb799e61da05b91916"
"Enhanced computer vision with Microsoft Kinect sensor: A review","2013","1054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890399408&doi=10.1109%2fTCYB.2013.2265378&partnerID=40&md5=259065ba656afa1a156884179b69e1b6"
"Recent advanced statistical background modeling for foreground detection - A systematic survey","2011","292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053143044&doi=10.2174%2f1874479611104030147&partnerID=40&md5=13fe8bd115bfd88fb07acfd2f63db72a"
"Satellite-based ET estimation in agriculture using SEBAL and METRIC","2011","269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055188721&doi=10.1002%2fhyp.8408&partnerID=40&md5=09e773b49a5031a09d0db4d4f694b76f"
"OctoMap: An efficient probabilistic 3D mapping framework based on octrees","2013","1743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877874067&doi=10.1007%2fs10514-012-9321-0&partnerID=40&md5=483bbce1b11e37182bf8e4dc78e75256"
"Estimation of IMU and MARG orientation using a gradient descent algorithm","2011","1508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055059186&doi=10.1109%2fICORR.2011.5975346&partnerID=40&md5=b78a9f9d607623e5e37a78e27c16072e"
"Multispectral pedestrian detection: Benchmark dataset and baseline","2015","531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959233867&doi=10.1109%2fCVPR.2015.7298706&partnerID=40&md5=4ed1f131d3fdca85b9636386e20cf682"
"Kalman filter for robot vision: A survey","2012","382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858139954&doi=10.1109%2fTIE.2011.2162714&partnerID=40&md5=f2c17205041d81af3edfade3f65c77e7"
