"Titles","Year","Cited by","Link"
"Mixed Vapor Generation Device for delivery of homemade explosives vapor plumes","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049984452&doi=10.1016%2fj.aca.2018.07.035&partnerID=40&md5=f5927d7969bf1f5dee9d30ae356cf0d2"
"Real-Time Path Planning Based on the Situation Space of UCAVs in a Dynamic Environment","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053445982&doi=10.1007%2fs12217-018-9650-5&partnerID=40&md5=302cb55a56d26d35d95db36c2474d866"
"IoT enabled tracking and monitoring sensor for military applications","2018","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056623045&doi=10.1007%2fs13198-018-0727-8&partnerID=40&md5=8ae61d5ae1fd88a1bc0783617e9d80e3"
"Virtual Prototyping and Additive Manufacturing of a Vaned Diffuser for a Research Jet Engine","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060177322&doi=10.1109%2fNTAD.2018.8551628&partnerID=40&md5=9235fbd3ae7be5bce2da3a8a6dfc8430"
"Research on Morlet Wavelet Based Lamb Wave Spatial Sampling Signal Optimization Method","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059167623&doi=10.1007%2fs12204-018-2024-8&partnerID=40&md5=a494c472b17aa65df18a22809dfb29df"
"Characterization of mixed N/G beam of the VR-1 reactor","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051761945&doi=10.1016%2fj.anucene.2018.08.028&partnerID=40&md5=38532c17036fbbc684dd8d2910e2a41f"
"Ship segmentation in sar images by improved nonlocal active contour model","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058078650&doi=10.3390%2fs18124220&partnerID=40&md5=f56b7071489e2dc5cfbecb482bbe8ac8"
"Study on Simulation of Sea Sky Infrared Imaging based on Neural Network and Measured Data","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060033222&doi=10.1088%2f1757-899X%2f466%2f1%2f012024&partnerID=40&md5=e9b6641220f5b771ba14d71f5a26aa7a"
"A Game Theory Based Multi Layered Intrusion Detection Framework for Wireless Sensor Networks","2018","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046039427&doi=10.1007%2fs10776-018-0403-6&partnerID=40&md5=dfcaac0e463bea396c70dfcc9c474fb3"
"Inhibition of cGAS-STING-TBK1 signaling pathway by DP96R of ASFV China 2018/1","2018","55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056602072&doi=10.1016%2fj.bbrc.2018.10.103&partnerID=40&md5=ad9508273a650d627e8625c89f62974f"
"Applying case-based reasoning to tactical cognitive sensor networks for dynamic frequency allocation","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058185070&doi=10.3390%2fs18124294&partnerID=40&md5=bb979a830714bd0440dbf94681d8de9a"
"Swarm learning in restricted environments: An examination of semi-stochastic action selection","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060808516&doi=10.1109%2fICARCV.2018.8581269&partnerID=40&md5=eb9347ddc532195cee238fa5dd306ed6"
"Efficient approaches to mitigate the effect of sybil attack in MANET for high network lifetime: A review","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069471513&doi=10.1109%2fPDGC.2018.8745749&partnerID=40&md5=b50f9670578752bce914b18c7980096d"
"Testing methods of assessment for the chemical resistance of insulating materials against the effect of selected acids","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060645472&doi=10.37358%2fmp.18.4.5071&partnerID=40&md5=e205cc2372a245dc3533590255567a1f"
"Secure Relay Selection for Two Way Amplify-And-Forward Untrusted Relaying Networks","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055707563&doi=10.1109%2fTVT.2018.2877718&partnerID=40&md5=42748760652eb362ca5231f1cda8190a"
"Target Detection and Tracking in Infrared Videos Using Frequency Domain Analysis and Machine Learning for Surveillance","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061668207&doi=10.1109%2fUPCON.2018.8596856&partnerID=40&md5=efc4e0e1ed7aff77cea3ed37d4f66eb8"
"Remote detection of unauthorized activity via spectral analysis","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061256972&doi=10.1145%2f3276770&partnerID=40&md5=a95877a98c9794662dd2c9de18e24d03"
"Innovative Biocatalysts as Tools to Detect and Inactivate Nerve Agents","2018","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053345963&doi=10.1038%2fs41598-018-31751-5&partnerID=40&md5=ded50fafa3a55d4731f1765777cd17b6"
"Spectrum Sharing between UAV-based Wireless Mesh Networks and Ground Networks","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059963462&doi=10.1109%2fWCSP.2018.8555855&partnerID=40&md5=0bc6bd3c5486b1935de29a0ed16e1ac8"
"Cross Layer and Management Plane Integration Approach for Detection and Prevention of Malicious Activities in WSN","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081135228&doi=10.1109%2fICEECCOT43722.2018.9001301&partnerID=40&md5=dead0f0d54f1dc4c46e15bb77065cc45"
"Energy Efficient Detection-Removal Algorithm for Selective Forwarding Attack in Wireless Sensor Networks","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072827329&doi=10.1109%2fICCSDET.2018.8821213&partnerID=40&md5=b53ff9d471211bd74e82c6675c7e472b"
"Development of novel portable and reusable fiber optical chemiluminescent biosensor and its application for sensitive detection of microcystin-LR","2018","35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052870474&doi=10.1016%2fj.bios.2018.08.062&partnerID=40&md5=2fe45cd2af27023a3cf86b3f98f057ea"
"Linear programming based time lag identification in event sequences","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053380616&doi=10.1016%2fj.automatica.2018.08.025&partnerID=40&md5=926874c2b47935653daad705aacbfd43"
"Quick Heat Dissipation in Absorption-Dominated Microwave Shielding Properties of Flexible Poly(vinylidene fluoride)/Carbon Nanotube/Co Composite Films with Anisotropy-Shaped Co (Flowers or Chains)","2018","81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056767288&doi=10.1021%2facsami.8b14733&partnerID=40&md5=f84927b45437f1dd3d24e53b4cae7014"
"Integrated multichannel all-fiber optofluidic biosensing platform for sensitive and simultaneous detection of trace analytes","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050634088&doi=10.1016%2fj.aca.2018.07.067&partnerID=40&md5=c0e41457c5f33753103e2c2733414b03"
"Joint transmission power control and relay cooperation for WBAN systems","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058375212&doi=10.3390%2fs18124283&partnerID=40&md5=5cb773246f79bc31725e474dd773afa3"
"Effects of different relative humidities on growth performance, antioxidant capacity and immune function of broilers; [不同湿度对肉鸡生长性能、抗氧化能力和免疫功能的影响]","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059836543&doi=10.3864%2fj.issn.0578-1752.2018.24.012&partnerID=40&md5=b52a3122f088adfe8c9b4ae62399d85e"
"A comprehensive survey on machine learning for networking: evolution, applications and research opportunities","2018","544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048987338&doi=10.1186%2fs13174-018-0087-2&partnerID=40&md5=111dbf2126f384b37406dbc9ca808dc4"
"Partial angular sparse representation based DOA estimation using sparse separate nested acoustic vector sensor array","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058855699&doi=10.3390%2fs18124465&partnerID=40&md5=c6c117a65bebb863fdd9223cf7de6a42"
"Internet of Things applied to Asymmetric Operations","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060040895&doi=10.1109%2fICACCI.2018.8554529&partnerID=40&md5=8c83e4bd6d4ed898aa7c210e92735584"
